OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions,education,leisure,lodging,mall,medical,non refrigerated warehouse,office,other,refrigerated warehouse,restauration,services,store
19873,store,Store #5218_2603 Third Avenue,7,1931.0,1.0,2.0,0.0,26270.0,32.0,1560461.75,33.78,1.985865441033681,0.62,14.260492969853756,3.549042508926137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26270.0
19874,office,Trianon Building,7,1926.0,1.0,3.0,7820.0,49800.0,50.0,2385395.0,16.63,1.8891567681616384,0.87,14.684875706257689,2.869601996409779,0.0,0.0,0.0,0.0,0.0,7820.0,49800.0,0.0,0.0,0.0,0.0,0.0
19876,other,U.S. BANK,7,1954.0,1.0,2.0,6080.0,22616.0,,418348.5,2.92,1.7928201169274,0.87,12.944072486551525,1.366091653802371,0.0,0.0,0.0,0.0,0.0,6080.0,7760.0,12960.0,0.0,0.0,0.0,0.0
19878,lodging,BELLTOWN INN (ID#19878),7,1990.0,1.0,5.0,0.0,57800.0,87.0,2443065.25,66.29,1.669667892367144,0.62,14.708764468169358,4.209011637200227,0.0,0.0,57800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19894,other,WA3-124 (Fifth and Olive Retail),7,1955.0,1.0,2.0,0.0,31890.0,2.0,1858224.625,12.95,1.1672897330272811,0.87,14.435132625321366,2.6354795082673745,0.0,0.0,0.0,0.0,0.0,0.0,31160.0,0.0,0.0,0.0,0.0,0.0
19895,office,CENTENNIAL BUILDING,7,1925.0,1.0,2.0,13660.0,30438.0,53.0,1441900.5,41.69,1.176357475324331,0.87,14.181473286588254,3.7539647007698704,0.0,0.0,0.0,0.0,0.0,13155.0,25920.0,0.0,0.0,0.0,0.0,0.0
19896,restauration,G4 Capital Sea Holdings LLC,7,1923.0,1.0,3.0,0.0,22381.0,,3532966.5,126.78,1.2581847088585658,0.37,15.077648727317936,4.850310035174197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22381.0,0.0,0.0
19902,store,Semkkann LLC,7,1925.0,1.0,1.0,1263.0,23562.0,,439521.0938,11.14,2.467920323927169,0.62,12.993443265151026,2.4965057856313524,0.0,0.0,0.0,0.0,0.0,10439.0,0.0,0.0,0.0,0.0,0.0,13940.0
19910,medical,King Co Public Health,7,1952.0,1.0,4.0,0.0,26670.0,51.0,1553208.375,10.83,1.510055130673159,0.87,14.255833912747264,2.470638677990296,0.0,0.0,0.0,0.0,26670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19917,other,Fire Station 02,7,1922.0,1.0,2.0,0.0,37740.0,,3095882.0,86.02,1.7460405179059864,0.62,14.945583722279991,4.466137977292534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38939.0,0.0,0.0,0.0,0.0
