OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions
55,non refrigerated warehouse,Vine Street,7,1911.0,1.0,3.0,0.0,70586.0,non refrigerated warehouse,38439.0,education,28197.0,office,3859.0,,2158629.0,45.43,1.9312951086046986,0.62,14.584984319173593,3.8379458020318302
57,office,5th and Pine,7,1973.0,1.0,5.0,0.0,168115.0,office,103362.0,store,65676.0,refrigerated warehouse,493.0,78.0,9536161.0,66.48,0.9702997928780872,0.87,16.070601656398004,4.211831257677767
58,other,1525 4th Avenue,7,1920.0,1.0,2.0,0.0,57428.0,mall,51747.0,services,5681.0,aucun,0.0,,1247362.0,33.26,0.9650728854273932,0.62,14.036542280937914,3.5339784928959737
59,office,Gibraltar Tower,7,1910.0,1.0,8.0,0.0,59400.0,office,34947.0,store,4993.0,aucun,0.0,14.0,5071974.0,35.36,0.9539860276576266,0.87,15.439240846064969,3.5934692693092782
60,other,Mann Building,7,1926.0,1.0,2.0,0.0,52549.0,leisure,23500.0,restauration,23500.0,office,5459.0,,15026196.0,584.31,0.7952129707065996,0.37,16.525305702433577,6.372141621406648
62,lodging,Roosevelt Hotel,7,1930.0,1.0,20.0,10043.0,88591.0,lodging,83591.0,non refrigerated warehouse,10043.0,restauration,5000.0,71.0,4841347.5,59.19,1.0015593340287563,0.87,15.392703855589147,4.0975062255596795
65,lodging,Inn at the Market,7,1985.0,1.0,7.0,0.0,71150.0,lodging,41340.0,non refrigerated warehouse,13730.0,store,9604.0,98.0,5348309.0,134.38,1.0985642976029892,0.62,15.492291181118645,4.908085639080461
66,lodging,Moore Hotel INC,7,1908.0,1.0,7.0,0.0,122810.0,lodging,88360.0,leisure,26450.0,store,8000.0,99.0,5401277.5,227.18,1.20288801390345,0.12,15.502146242770712,5.430134791168223
67,lodging,QUALITY INN,7,1959.0,1.0,5.0,42546.0,70627.0,lodging,70627.0,non refrigerated warehouse,42546.0,aucun,0.0,86.0,5284343.5,144.79,2.077264072571248,0.62,15.480259139319724,4.982167230116731
68,lodging,Rainier Hospitality,7,2000.0,1.0,7.0,34735.0,115718.0,lodging,107547.0,restauration,3000.0,aucun,0.0,84.0,6715187.0,199.95,2.040421974416171,0.62,15.719882384569159,5.30305612089521
69,lodging,Sequim Lodging Corp,7,1997.0,1.0,6.0,28200.0,88100.0,lodging,88490.0,non refrigerated warehouse,28300.0,aucun,0.0,80.0,5827595.5,162.39,2.0781425700772376,0.62,15.578115209171504,5.096139981042732
70,lodging,Homewood Suites by Hilton Seattle Downtonw,7,1998.0,1.0,6.0,36744.0,118858.0,lodging,155602.0,aucun,0.0,aucun,0.0,81.0,6836900.0,152.76,2.8726696562912113,0.62,15.737845116755992,5.035392945221982
73,education,Seattle Hebrew Academy,3,1911.0,1.0,3.0,0.0,56072.0,education,56072.0,aucun,0.0,aucun,0.0,76.0,3234787.75,146.34,3.7790867491283278,0.12,14.989474182393874,4.9927428412546675
77,lodging,Comfort Suites Seattle Center,7,1999.0,1.0,4.0,44891.0,78051.0,lodging,78051.0,non refrigerated warehouse,44891.0,aucun,0.0,94.0,5337334.0,171.64,2.617018239570145,0.37,15.490237022692243,5.151208501509824
82,office,Dept of Social & Health Services,3,1962.0,1.0,2.0,0.0,54984.0,office,54984.0,aucun,0.0,aucun,0.0,71.0,3375211.0,87.98,1.6014654284877619,0.62,15.031968695130814,4.488411625377895
86,lodging,SCCA - ALLIANCE HOUSE,7,2008.0,1.0,6.0,20732.0,63371.0,lodging,63371.0,non refrigerated warehouse,20732.0,aucun,0.0,74.0,3706100.25,67.06,1.7923536819731138,0.87,15.125491006015494,4.22038966907276
87,education,Arbor Heights Elementary,1,1948.0,1.0,2.0,0.0,53352.0,education,65568.0,aucun,0.0,aucun,0.0,,600813.0,4.19,11.061685590247157,0.87,13.306040681424218,1.6467336971777973
95,lodging,Sorrento Hotel,3,1908.0,1.0,7.0,0.0,76631.0,lodging,76631.0,aucun,0.0,aucun,0.0,71.0,7258758.5,262.75,0.6144193558182702,0.37,15.797719504432823,5.575001684790276
98,store,Firestone Store#012432,7,1929.0,1.0,2.0,0.0,58320.0,store,72072.0,aucun,0.0,aucun,0.0,96.0,1049748.625,39.06,2.150173903040252,0.37,13.864062241318464,3.6903783302376723
100,office,City Place III - SEDO,7,2010.0,1.0,5.0,0.0,316306.0,office,261826.0,non refrigerated warehouse,150726.0,other,15139.0,96.0,13795954.0,138.85,2.3221523242102675,0.87,16.43988599121853,4.940570419647969
104,other,Bagley Wright Theatre,7,1962.0,1.0,1.0,0.0,91213.0,other,65000.0,aucun,0.0,aucun,0.0,,8141155.5,344.2,2.7159353042024827,0.87,15.912442804053937,5.844123959209273
110,other,Exhibition Hall,7,1962.0,1.0,2.0,0.0,52000.0,other,52000.0,aucun,0.0,aucun,0.0,,2726369.0,101.83,2.729946479175536,0.87,14.818481612035468,4.6330771392411
